ID,Group,Category,Priority,Status,Description,Use Case
REQ-001,1. Access Governance & Security,Query Governance,MUST,Available,"Any authenticated identity can query using any supported language (GraphQL, SQL, pgwire, Arrow Flight). Data returned is governed solely by table/column visibility, RLS, and masking — there is no capability gate on querying itself. Relationship join enforcement applies unless the role holds the ignore_relationships capability. There is no query registry and no pre-approval concept.","Removing the query-execution capability gate means governance is expressed entirely through data-layer controls (visibility, RLS, masking), not through access lists."
REQ-002,1. Access Governance & Security,Query Governance,MUST,Available,Rights and Stage 2 governance enforcement is platform-level — applied to every query at compile time. No client path can bypass it without bypassing the server (REQ-266).,Platform-level rights enforcement prevents any client path from bypassing governance controls.
REQ-003,1. Access Governance & Security,Query Governance,MUST,Available,All queries and mutations are governed by user rights alone — table/view rights plus relationship rights. No registry membership or query approval is required for any operation.,Uniform rights-based governance lets users run any query their rights permit without approval overhead.
REQ-004,1. Access Governance & Security,Query Governance,MUST,Available,Test endpoint accepts arbitrary queries against registered schema with full guards; MUST NOT be exposed in production.,Isolated test endpoint lets developers validate queries safely without risking production exposure.
REQ-005,1. Access Governance & Security,Query Governance,MUST,Available,"Result-size ceilings are defined per role/table in config (`max_rows`); Stage 2 injects LIMIT when a query would exceed the role's ceiling for any referenced table. Clients may always narrow further (fewer columns, additional filters).",Per-role/table row ceilings bound result size without an approved-query registry.
REQ-006,1. Access Governance & Security,Query Governance,MAY,Available,"Large-result redirect and Arrow output are available to any query the user's rights permit, subject to configured thresholds (REQ-029, REQ-137).","Large-result and Arrow output available to any rights-permitted query, governed by configured thresholds."
REQ-038,1. Access Governance & Security,Security,MUST,Available,Two independent enforcement layers: schema visibility and SQL enforcement (Stage 2). Both derive from the user's table/view and relationship rights.,Independent visibility and SQL-enforcement layers ensure governance cannot be bypassed by compromising one layer.
REQ-039,1. Access Governance & Security,Security,MUST,Available,Schema visibility layer: unauthorized tables/columns do not appear in SDL or query builder; compiler rejects at parse time.,Schema visibility enforcement ensures unauthorized tables and columns are invisible to clients at design time.
REQ-040,1. Access Governance & Security,Security,MUST,Available,"SQL enforcement layer: executor injects RLS WHERE clauses and strips unauthorized columns before execution, every request.","SQL-level RLS and column stripping ensure governance is enforced at execution time, not just at schema time."
REQ-041,1. Access Governance & Security,Security,MUST,Available,RLS rules defined at table registration as PG-style SQL filter expressions mapped to user roles.,Declarative RLS rules let stewards define row-level access without writing database triggers or views.
REQ-042,1. Access Governance & Security,Security,MUST,Available,"Source registration, table registration, relationship definition, security configuration, query development, query authorization, and ignore-relationships rights are distinct and independently configured.","Fine-grained, independently assignable rights prevent privilege creep across registration and execution roles."
REQ-203,1. Access Governance & Security,ABAC Approval Hook,MAY,Available,"Pluggable operation approval hook for enterprises with complex ABAC that can't be expressed as static RLS rules. Evaluated at query time. Request: user_id, roles, session_vars, tables, columns, operation. Response: approved/denied + optional additional filter. Position: after RLS injection, before execution.",ABAC approval hook lets enterprises enforce attribute-based policies too complex for static RLS rules.
REQ-204,1. Access Governance & Security,ABAC Approval Hook,MAY,Available,"Approval hook scoping — per-table (`approval_hook: true`), per-source (`approval_hook: true` on source config), or global (`auth.approval_hook`). Compiler checks at query time: if no table in the query has approval_hook enabled (directly, via source, or global), skip the call entirely. Zero overhead for unscoped tables.","Scoped hook evaluation skips the approval call entirely for unscoped tables, keeping overhead at zero."
REQ-246,1. Access Governance & Security,ABAC Approval Hook,MAY,Available,"Approval hook protocols — three transport options, configured via `auth.approval_hook.type` (Part of Phase AE): - `webhook` (default): HTTP POST to URL. ~5-50ms. Simplest, works with any external ABAC service. - `grpc`: gRPC with persistent connection + multiplexing. ~1-5ms. Binary protocol for high-volume same-datacenter deployments. Proto service definition shipped with Provisa. - `unix_socket`: Unix domain socket for same-machine sidecars (e.g., OPA). <0.5ms. Path configured via `auth.approval_hook.socket_path`.",Three approval hook transports (HTTP/gRPC/Unix socket) let enterprises match latency requirements to ABAC infra.
REQ-247,1. Access Governance & Security,ABAC Approval Hook,MAY,Available,Approval hook config (Part of Phase AE): auth.approval_hook.type: webhook | grpc | unix_socket; url for webhook/grpc; socket_path for unix_socket; timeout_ms: 500; fallback: deny | allow on timeout; scope: all or omit for per-table/per-source scoping. Per-table: tables[].approval_hook: true. Per-source: sources[].approval_hook: true. Global: auth.approval_hook.scope: all.,Granular approval hook scoping (global/source/table) avoids adding governance overhead to unscoped tables.
REQ-262,1. Access Governance & Security,Two-Stage Compiler (Governed SQL),MUST,Available,"Compiler refactored into two explicit stages. Stage 1: GraphQL → plain PG-style SQL (semantic compilation only — resolves aliases, domains, relationships, emits physical column names and table names with AS aliases). Stage 2: plain SQL → governed SQL (AST rewrite applying RLS, masking, visibility, and the row cap). Stage 2 is a standalone transformer that accepts SQL + role and returns governed SQL, with no knowledge of GraphQL or the semantic model.",Two-stage compiler separates semantic translation from governance so Stage 2 can be reused by any SQL client.
